filename,label
img_0000.png,1
img_0001.png,2
img_0002.png,0
img_0003.png,2
img_0004.png,2
img_0005.png,0
img_0006.png,2
img_0007.png,2
img_0008.png,0
img_0009.png,0
img_0010.png,2
img_0011.png,2
img_0012.png,2
img_0013.png,1
img_0014.png,0
img_0015.png,0
img_0016.png,0
img_0017.png,2
img_0018.png,1
img_0019.png,2
img_0020.png,0
img_0021.png,1
img_0022.png,1
img_0023.png,1
img_0024.png,0
img_0025.png,1
img_0026.png,1
img_0027.png,2
img_0028.png,2
img_0029.png,0
img_0030.png,0
img_0031.png,2
img_0032.png,1
img_0033.png,0
img_0034.png,2
img_0035.png,0
img_0036.png,1
img_0037.png,2
img_0038.png,0
img_0039.png,0
img_0040.png,1
img_0041.png,1
img_0042.png,0
img_0043.png,2
img_0044.png,0
img_0045.png,1
img_0046.png,0
img_0047.png,0
img_0048.png,2
img_0049.png,1
img_0050.png,1
img_0051.png,0
img_0052.png,1
img_0053.png,0
img_0054.png,0
img_0055.png,2
img_0056.png,1
img_0057.png,1
img_0058.png,2
img_0059.png,1
img_0060.png,0
img_0061.png,2
img_0062.png,2
img_0063.png,1
img_0064.png,1
img_0065.png,1
img_0066.png,2
img_0067.png,1
img_0068.png,2
img_0069.png,2
img_0070.png,1
img_0071.png,1
img_0072.png,1
img_0073.png,0
img_0074.png,2
img_0075.png,1
img_0076.png,0
img_0077.png,2
img_0078.png,0
img_0079.png,2
img_0080.png,0
img_0081.png,2
img_0082.png,0
img_0083.png,1
img_0084.png,0
img_0085.png,1
img_0086.png,0
img_0087.png,2
img_0088.png,2
img_0089.png,0
img_0090.png,1
img_0091.png,0
img_0092.png,2
img_0093.png,1
img_0094.png,0
img_0095.png,2
img_0096.png,1
img_0097.png,1
img_0098.png,0
img_0099.png,2
img_0100.png,2
img_0101.png,1
img_0102.png,2
img_0103.png,0
img_0104.png,0
img_0105.png,1
img_0106.png,2
img_0107.png,1
img_0108.png,0
img_0109.png,2
img_0110.png,2
img_0111.png,2
img_0112.png,1
img_0113.png,1
img_0114.png,2
img_0115.png,1
img_0116.png,1
img_0117.png,2
img_0118.png,1
img_0119.png,0
img_0120.png,1
img_0121.png,1
img_0122.png,1
img_0123.png,0
img_0124.png,1
img_0125.png,1
img_0126.png,1
img_0127.png,0
img_0128.png,1
img_0129.png,0
img_0130.png,0
img_0131.png,0
img_0132.png,1
img_0133.png,1
img_0134.png,0
img_0135.png,1
img_0136.png,2
img_0137.png,2
img_0138.png,2
img_0139.png,2
img_0140.png,1
img_0141.png,2
img_0142.png,1
img_0143.png,0
img_0144.png,2
img_0145.png,2
img_0146.png,1
img_0147.png,1
img_0148.png,0
img_0149.png,2
img_0150.png,1
img_0151.png,2
